nazev,delka,sirka,datumdo,vyska,biotop,kodbiotopu,samec,samice,juv,ex
Casmerodius albus,16.33,48.91,5.6.1947,693,doubravy,206,0,0,0,6
Tyto novaehollandiae,13.61,50.23,30.8.1950,917,mocaly,207,0,0,0,6
Phalacrocorax carbo,14.47,49.07,3.2.1923,879,orobincove porosty,405,0,0,0,2
Bucephala clangula,18.79,50.33,18.10.1941,968,mocaly,207,0,0,0,2
Conolophus subcristatus,17.27,50.41,3.4.1906,942,Skalní stepi na vápensových podkladech,215,0,0,0,7
Lemur fulvus,12.91,49.27,28.4.1958,904,orobincove porosty,405,0,0,0,9
Ciconia episcopus,14.97,50.67,24.1.2002,1075,vřesoviště a meze,400,0,0,0,3
Callipepla gambelii,17.11,49.61,15.5.1964,664,lidska obydli,200,0,0,0,8
Felis wiedi or Leopardus weidi,16.31,49.87,7.11.1993,956,les,301,0,0,0,0
Anas bahamensis,14.43,50.37,16.10.1986,1030,les,301,0,0,0,9
Phoenicopterus chilensis,16.67,49.05,10.1.1990,1066,hranice lesa,402,0,0,0,9
Sarkidornis melanotos,17.47,49.63,11.11.1943,881,bazina,369,0,0,0,0
Ara chloroptera,17.71,49.43,13.8.1990,919,les,301,0,0,0,8
Ursus arctos,12.43,49.23,9.7.1924,1133,lidska obydli,200,0,0,0,6
Pytilia melba,17.73,48.57,7.7.1927,1126,doubravy,206,0,0,0,8
Phoenicopterus chilensis,17.73,48.69,9.6.1971,1077,orobincove porosty,405,0,0,0,9
Larus fuliginosus,14.67,51.19,14.4.1977,1137,orobincove porosty,405,0,0,0,2
Eolophus roseicapillus,15.71,50.01,15.7.1944,1097,bazina,369,0,0,0,9
Graspus graspus,16.47,48.71,18.2.1922,635,skály nižších a středních výšek,308,0,0,0,1
Ratufa indica,16.55,48.67,20.1.1944,922,nizke křoviny,377,0,0,0,7
Phalacrocorax niger,13.17,50.47,1.5.1999,1032,louka,202,0,0,0,8
Ninox superciliaris,15.89,49.13,5.3.1949,756,louka,202,0,0,0,7
Lepilemur rufescens,17.85,49.01,18.12.1959,1087,les,301,0,0,0,6
Canis aureus,12.11,50.11,21.8.2005,1113,orobincove porosty,405,0,0,0,3
Spilogale gracilis,12.51,49.81,16.3.1900,704,Skalní stepi na vápensových podkladech,215,0,0,0,3
Anastomus oscitans,16.79,50.73,21.9.1929,754,Skalní stepi na vápensových podkladech,215,0,0,0,0
Vulpes chama,12.97,48.77,7.4.2020,1152,xerotermni tentononc,310,0,0,0,6
Macropus agilis,18.33,49.29,18.4.1927,966,xerotermni tentononc,310,0,0,0,2
Anthropoides paradisea,12.77,50.53,27.5.1950,1122,xerotermni tentononc,310,0,0,0,10
Thylogale stigmatica,14.23,50.03,7.8.1917,1161,nizke křoviny,377,0,0,0,9
Otaria flavescens,17.33,50.55,23.1.1934,711,nizke křoviny,377,0,0,0,0
Redunca redunca,17.01,51.19,24.11.1943,1056,louka,202,0,0,0,9
Alopex lagopus,18.09,48.97,6.7.1928,641,bazina,369,0,0,0,0
Pavo cristatus,13.55,48.75,22.2.1908,1172,slatiny,217,0,0,0,8
Pseudoleistes virescens,16.61,48.77,23.4.1994,778,suťové lesy,327,0,0,0,0
Macropus rufogriseus,14.57,49.35,22.12.1900,920,les,301,0,0,0,1
Vulpes vulpes,18.37,48.83,17.3.1974,943,louka,202,0,0,0,0
Herpestes javanicus,15.35,50.49,13.11.1998,1199,louka,202,0,0,0,6
Castor fiber,16.11,49.55,15.9.2015,755,slatiny,217,0,0,0,5
Nyctea scandiaca,14.65,48.65,6.9.2006,867,Skalní stepi na vápensových podkladech,215,0,0,0,8
Equus burchelli,14.27,49.93,13.12.1966,1106,skály nižších a středních výšek,308,0,0,0,8
Sceloporus magister,12.85,50.47,5.12.2017,617,nizke křoviny,377,0,0,0,10
Francolinus leucoscepus,14.17,50.75,28.6.2012,1118,Skalní stepi na vápensových podkladech,215,0,0,0,6
Acridotheres tristis,14.17,50.33,24.3.1937,623,lidska obydli,200,0,0,0,0
Actophilornis africanus,16.07,50.99,23.3.1967,1027,les,301,0,0,0,7
Milvago chimachima,17.03,49.77,30.4.2002,1119,hranice lesa,402,0,0,0,0
Cereopsis novaehollandiae,13.61,48.65,15.8.1955,1129,vřesoviště a meze,400,0,0,0,10
Coluber constrictor,16.65,49.89,19.12.1980,844,suťové lesy,327,0,0,0,9
Corvus brachyrhynchos,13.87,49.11,15.8.2003,995,suťové lesy,327,0,0,0,10
Papio cynocephalus,16.93,50.69,6.3.1990,1141,Skalní stepi na vápensových podkladech,215,0,0,0,7
Psophia viridis,17.59,51.09,6.1.1990,882,xerotermni tentononc,310,0,0,0,0
Gorilla gorilla,16.31,51.19,1.10.1957,601,suťové lesy,327,0,0,0,0
Eudyptula minor,13.71,50.47,28.6.2004,1069,louka,202,0,0,0,8
Eremophila alpestris,17.67,50.29,24.11.1916,1062,mocaly,207,0,0,0,1
Castor canadensis,14.25,50.37,19.8.1986,838,hranice lesa,402,0,0,0,5
Tadorna tadorna,16.7,48.75,1.10.1943,1158,skály nižších a středních výšek,308,0,0,0,1
Naja haje,15.57,49.23,2.4.1979,1034,bazina,369,0,0,0,8
Crotalus cerastes,16.23,50.35,4.11.1958,746,lidska obydli,200,0,0,0,4
Salvadora hexalepis,16.99,48.63,31.10.1919,1072,skály nižších a středních výšek,308,0,0,0,9
Aegypius tracheliotus,15.67,48.67,21.7.1977,1116,louka,202,0,0,0,4
Microcebus murinus,17.71,49.59,26.5.1913,694,skály nižších a středních výšek,308,0,0,0,0
Sus scrofa,12.09,50.29,1.10.1980,737,skály nižších a středních výšek,308,0,0,0,9
Tayassu tajacu,14.89,49.31,10.8.1935,711,slatiny,217,0,0,0,10
Tursiops truncatus,15.37,49.75,10.8.1926,1127,nizke křoviny,377,0,0,0,4
Streptopelia senegalensis,17.53,48.63,22.2.2007,1147,hranice lesa,402,0,0,0,8
Ursus maritimus,17.17,49.35,28.4.1931,848,louka,202,0,0,0,0
Plegadis ridgwayi,17.69,50.05,11.1.1941,845,Skalní stepi na vápensových podkladech,215,0,0,0,1
Semnopithecus entellus,14.37,50.21,19.4.1901,956,nizke křoviny,377,0,0,0,10
Morelia spilotes variegata,12.55,48.95,3.2.2013,839,bazina,369,0,0,0,6
Catharacta skua,18.21,48.49,16.12.2011,723,doubravy,206,0,0,0,5
unavailable,15.93,50.17,31.1.2007,1003,hranice lesa,402,0,0,0,3
Larus fuliginosus,17.25,51.15,6.5.1931,718,louka,202,0,0,0,10
Pycnonotus nigricans,12.07,50.83,12.5.2007,1041,nizke křoviny,377,0,0,0,1
Chelodina longicollis,17.59,49.07,14.3.1906,774,mocaly,207,0,0,0,9
Thamnolaea cinnmomeiventris,13.17,48.83,9.5.1953,1152,vřesoviště a meze,400,0,0,0,6
Alcelaphus buselaphus caama,16.37,50.89,28.5.1927,796,Skalní stepi na vápensových podkladech,215,0,0,0,2
Felis rufus,15.21,50.99,8.2.1978,1178,lidska obydli,200,0,0,0,8
Macropus fuliginosus,14.85,49.65,23.3.1911,868,lidska obydli,200,0,0,0,10
Dicrurus adsimilis,17.89,49.47,10.10.1936,1009,bazina,369,0,0,0,0
Cygnus buccinator,13.93,50.29,28.6.1909,1004,bazina,369,0,0,0,8
Crotaphytus collaris,17.63,49.63,6.7.2011,1120,nizke křoviny,377,0,0,0,0
Speotyte cuniculata,17.47,49.89,12.4.1965,1082,orobincove porosty,405,0,0,0,1
Phalacrocorax niger,13.17,50.85,11.10.1968,846,hranice lesa,402,0,0,0,1
Cacatua tenuirostris,13.29,50.97,11.1.1928,1123,bazina,369,0,0,0,9
Ursus arctos,16.01,50.37,11.8.2020,1083,hranice lesa,402,0,0,0,3
Macaca nemestrina,18.51,49.61,11.9.1983,901,slatiny,217,0,0,0,1
Passer domesticus,12.31,49.25,29.9.2012,922,lidska obydli,200,0,0,0,8
Aepyceros mylampus,18.61,50.41,7.6.1937,1182,suťové lesy,327,0,0,0,4
Hyaena hyaena,15.97,48.51,15.12.1900,790,louka,202,0,0,0,1
Ninox superciliaris,18.03,50.29,25.12.1993,1164,lidska obydli,200,0,0,0,9
Tockus flavirostris,16.85,48.89,2.12.1924,762,louka,202,0,0,0,3
Francolinus coqui,17.07,50.83,11.7.1908,850,vřesoviště a meze,400,0,0,0,7
Turtur chalcospilos,14.57,50.85,12.4.2006,884,bazina,369,0,0,0,8
Globicephala melas,12.29,49.83,14.8.1908,650,bazina,369,0,0,0,7
Ursus americanus,18.73,50.03,25.4.1964,907,suťové lesy,327,0,0,0,2
Uraeginthus angolensis,15.15,50.43,26.9.1932,1042,suťové lesy,327,0,0,0,4
Podargus strigoides,17.47,50.25,19.5.1923,1149,nizke křoviny,377,0,0,0,1
Hippopotamus amphibius,16.23,50.31,8.8.2001,680,orobincove porosty,405,0,0,0,8
Macaca mulatta,15.03,48.95,21.8.1969,1115,nizke křoviny,377,0,0,0,0
Redunca redunca,14.65,48.81,14.2.1981,1080,mocaly,207,0,0,0,7
Parus atricapillus,18.05,49.37,14.5.1968,626,lidska obydli,200,0,0,0,4
Tamandua tetradactyla,14.19,48.85,30.11.1960,921,mocaly,207,0,0,0,5
Lama pacos,13.35,50.83,15.10.1911,1179,bazina,369,0,0,0,2
Butorides striatus,16.95,50.31,4.2.1941,1200,vřesoviště a meze,400,0,0,0,0
Sula dactylatra,15.99,50.69,26.3.1922,934,bazina,369,0,0,0,0
Larus fuliginosus,17.75,49.73,11.11.1995,1116,xerotermni tentononc,310,0,0,0,6
Dasyurus viverrinus,12.75,50.27,7.7.1938,653,xerotermni tentononc,310,0,0,0,8
Drymarchon corias couperi,13.27,48.65,17.5.1920,632,doubravy,206,0,0,0,0
Ploceus rubiginosus,17.73,50.45,4.5.1990,1136,vřesoviště a meze,400,0,0,0,7
Charadrius tricollaris,12.91,50.85,23.2.1988,1057,doubravy,206,0,0,0,10
Prionace glauca,14.43,48.93,17.3.1901,1047,xerotermni tentononc,310,0,0,0,6
Gyps fulvus,16.99,48.97,27.5.1972,922,bazina,369,0,0,0,5
Dusicyon thous,17.11,50.43,9.10.1968,1196,doubravy,206,0,0,0,1
Macropus rufogriseus,18.73,48.55,1.9.2011,847,vřesoviště a meze,400,0,0,0,6
Ovis dalli stonei,18.53,50.91,26.7.1947,700,lidska obydli,200,0,0,0,4
Aegypius occipitalis,16.55,50.17,11.4.2009,951,bazina,369,0,0,0,1
Macropus fuliginosus,14.99,49.07,26.1.1931,783,orobincove porosty,405,0,0,0,0
Eudromia elegans,14.83,50.73,20.6.1955,824,hranice lesa,402,0,0,0,3
Pterocles gutturalis,13.19,49.95,31.3.1981,731,vřesoviště a meze,400,0,0,0,6
Ceratotherium simum,12.45,48.81,29.1.2021,927,les,301,0,0,0,5
Lepus arcticus,15.69,51.01,9.1.1940,885,Skalní stepi na vápensových podkladech,215,0,0,0,10
Odocoileus hemionus,12.27,49.97,27.4.1943,1114,nizke křoviny,377,0,0,0,7
Larus fuliginosus,15.11,49.19,27.3.1934,747,Skalní stepi na vápensových podkladech,215,0,0,0,6
Ara ararauna,17.75,50.79,4.11.2011,1009,suťové lesy,327,0,0,0,0
Macropus eugenii,16.83,49.17,5.12.1973,790,mocaly,207,0,0,0,9
Acanthaster planci,13.43,49.47,12.1.2001,679,les,301,0,0,0,3
Bucorvus leadbeateri,17.37,50.07,29.8.1998,1106,xerotermni tentononc,310,0,0,0,4
Aonyx capensis,13.47,50.81,18.6.1998,765,slatiny,217,0,0,0,1
Macropus eugenii,16.39,49.31,24.1.1953,832,hranice lesa,402,0,0,0,10
Agkistrodon piscivorus,15.55,48.89,7.10.1946,898,mocaly,207,0,0,0,1
Phalacrocorax albiventer,15.85,48.65,27.7.1939,678,lidska obydli,200,0,0,0,5
Amblyrhynchus cristatus,15.15,48.79,4.3.1908,1107,hranice lesa,402,0,0,0,7
Callorhinus ursinus,15.71,49.41,26.10.1977,677,bazina,369,0,0,0,4
Cordylus giganteus,14.85,50.11,4.3.1906,880,xerotermni tentononc,310,0,0,0,7
Larus fuliginosus,13.99,51.07,10.8.1975,1020,doubravy,206,0,0,0,8
Ninox superciliaris,16.27,48.79,9.6.1904,676,louka,202,0,0,0,5
Tursiops truncatus,18.03,50.01,23.7.1930,626,slatiny,217,0,0,0,9
Cyrtodactylus louisiadensis,18.85,49.71,3.5.2013,940,xerotermni tentononc,310,0,0,0,6
Haliaeetus leucocephalus,18.57,49.53,8.5.1935,924,Skalní stepi na vápensových podkladech,215,0,0,0,0
Phalacrocorax albiventer,15.53,51.07,2.7.1931,959,doubravy,206,0,0,0,5
Tamandua tetradactyla,17.35,50.43,24.9.1920,763,mocaly,207,0,0,0,9
Ara chloroptera,16.57,50.99,11.4.1927,1136,orobincove porosty,405,0,0,0,1
Cochlearius cochlearius,13.41,50.31,19.7.1954,1069,skály nižších a středních výšek,308,0,0,0,6
Cervus duvauceli,18.59,50.51,12.8.1903,798,slatiny,217,0,0,0,3
Terrapene carolina,15.37,48.51,7.11.1924,1116,vřesoviště a meze,400,0,0,0,1
Ramphastos tucanus,18.35,49.91,19.5.1958,891,Skalní stepi na vápensových podkladech,215,0,0,0,3
Sus scrofa,16.21,50.57,21.7.2006,762,orobincove porosty,405,0,0,0,9
Milvago chimachima,17.91,50.89,12.6.1996,744,Skalní stepi na vápensových podkladech,215,0,0,0,0
Falco peregrinus,18.47,49.31,8.8.2010,977,hranice lesa,402,0,0,0,7
Sterna paradisaea,18.69,49.73,23.1.2009,1165,louka,202,0,0,0,6
Ardea golieth,17.91,49.77,24.4.1926,726,skály nižších a středních výšek,308,0,0,0,3
Aegypius occipitalis,15.65,50.95,3.11.1910,920,vřesoviště a meze,400,0,0,0,5
Pteronura brasiliensis,13.33,49.85,17.11.1907,1038,doubravy,206,0,0,0,2
Galictis vittata,15.77,50.23,4.1.1918,1157,orobincove porosty,405,0,0,0,0
unavailable,16.67,48.79,31.10.1987,777,xerotermni tentononc,310,0,0,0,6
Tenrec ecaudatus,18.87,49.11,15.7.1934,763,louka,202,0,0,0,0
Bucorvus leadbeateri,12.71,49.99,24.11.1937,1014,Skalní stepi na vápensových podkladech,215,0,0,0,9
Canis mesomelas,14.05,49.11,18.7.2014,686,doubravy,206,0,0,0,0
Macropus rufogriseus,12.17,48.69,8.7.1928,728,xerotermni tentononc,310,0,0,0,10
Felis chaus,18.17,49.29,14.9.1985,1162,xerotermni tentononc,310,0,0,0,4
Vanellus armatus,18.95,49.35,7.12.1956,751,hranice lesa,402,0,0,0,3
Anser caerulescens,17.61,50.09,19.9.1949,1130,xerotermni tentononc,310,0,0,0,1
Columba palumbus,15.31,48.57,29.9.2009,1082,nizke křoviny,377,0,0,0,0
Limosa haemastica,12.59,50.71,24.1.2005,961,Skalní stepi na vápensových podkladech,215,0,0,0,4
Bubalus arnee,15.95,50.97,13.10.1942,955,xerotermni tentononc,310,0,0,0,2
Dasyurus viverrinus,18.33,49.31,10.12.1948,725,louka,202,0,0,0,5
Herpestes javanicus,16.21,48.59,20.6.2006,1182,xerotermni tentononc,310,0,0,0,10
Acanthaster planci,14.11,48.59,16.3.2010,862,slatiny,217,0,0,0,9
Vombatus ursinus,14.59,48.63,17.4.1987,882,les,301,0,0,0,9
Nucifraga columbiana,17.13,49.07,12.11.2008,632,les,301,0,0,0,9
Cacatua tenuirostris,12.25,50.95,7.2.1918,887,les,301,0,0,0,0
Eubalaena australis,16.45,50.23,6.6.1905,918,suťové lesy,327,0,0,0,10
Francolinus coqui,12.33,49.19,25.1.1977,788,louka,202,0,0,0,3
Alectura lathami,14.05,48.69,3.1.1966,823,bazina,369,0,0,0,4
Dicrostonyx groenlandicus,12.47,48.73,22.9.1969,749,Skalní stepi na vápensových podkladech,215,0,0,0,1
Cynictis penicillata,18.65,50.51,1.2.1901,884,nizke křoviny,377,0,0,0,9
Macropus giganteus,16.95,50.51,25.3.1952,1137,vřesoviště a meze,400,0,0,0,7
Macropus eugenii,15.89,48.81,21.10.2021,867,louka,202,0,0,0,2
Aquila chrysaetos,12.09,49.59,13.7.1958,754,louka,202,0,0,0,0
Sciurus vulgaris,16.35,48.53,23.8.1927,965,slatiny,217,0,0,0,4
Spermophilus lateralis,14.51,50.77,30.4.1902,890,suťové lesy,327,0,0,0,2
Sula dactylatra,13.79,48.65,17.9.1955,1092,lidska obydli,200,0,0,0,5
Colaptes campestroides,12.85,50.83,3.10.1907,613,suťové lesy,327,0,0,0,1
Lama guanicoe,15.33,50.91,29.1.1987,966,orobincove porosty,405,0,0,0,8
Phalaropus fulicarius,14.33,50.93,16.8.1996,923,nizke křoviny,377,0,0,0,10
Cyrtodactylus louisiadensis,15.49,49.07,17.10.2006,1121,hranice lesa,402,0,0,0,7
Catharacta skua,18.69,48.91,28.10.1934,667,nizke křoviny,377,0,0,0,10
Snycerus caffer,14.09,50.95,10.9.1947,1056,bazina,369,0,0,0,3
Myotis lucifugus,17.31,49.63,16.9.1970,855,lidska obydli,200,0,0,0,5
Merops nubicus,12.81,48.75,24.12.1997,995,les,301,0,0,0,2
Actophilornis africanus,13.17,51.01,1.11.1964,791,nizke křoviny,377,0,0,0,4
Plectopterus gambensis,18.79,48.45,9.11.1948,990,bazina,369,0,0,0,2
Neophron percnopterus,14.89,49.55,5.7.1902,1091,louka,202,0,0,0,4
Pycnonotus nigricans,18.67,50.73,28.8.1917,834,bazina,369,0,0,0,7
Semnopithecus entellus,17.67,49.59,8.6.2019,765,louka,202,0,0,0,8
Morelia spilotes variegata,13.43,49.91,20.12.1922,1083,xerotermni tentononc,310,0,0,0,6
Petaurus breviceps,12.51,48.55,7.12.2015,1176,lidska obydli,200,0,0,0,6
Nannopterum harrisi,13.95,49.25,18.12.1951,613,suťové lesy,327,0,0,0,6
Buteo jamaicensis,18.27,49.65,6.7.2011,786,suťové lesy,327,0,0,0,4
Choloepus hoffmani,13.61,48.71,10.7.1965,618,mocaly,207,0,0,0,7
Boa constrictor mexicana,16.75,49.37,15.8.1957,873,skály nižších a středních výšek,308,0,0,0,10
Phascogale calura,17.15,50.33,14.3.1994,1067,Skalní stepi na vápensových podkladech,215,0,0,0,10
Anathana ellioti,17.49,49.17,14.12.1931,725,bazina,369,0,0,0,10
Phalacrocorax niger,13.25,50.83,25.2.1924,973,hranice lesa,402,0,0,0,6
Gerbillus sp.,16.73,50.23,27.8.1931,895,doubravy,206,0,0,0,5
Cacatua tenuirostris,15.23,48.71,8.5.1963,1131,nizke křoviny,377,0,0,0,3
Dasyurus viverrinus,17.05,49.17,27.12.2020,1194,orobincove porosty,405,0,0,0,0
Kobus defassa,18.73,49.43,13.7.1900,1046,mocaly,207,0,0,0,0
Coendou prehensilis,12.51,50.75,4.10.1989,904,nizke křoviny,377,0,0,0,0
Aegypius tracheliotus,16.25,50.19,21.5.1992,802,xerotermni tentononc,310,0,0,0,10
unavailable,18.95,50.69,14.10.1994,825,skály nižších a středních výšek,308,0,0,0,6
Cebus apella,14.31,50.41,22.3.1990,909,nizke křoviny,377,0,0,0,0
Uraeginthus granatina,12.01,51.13,18.2.1951,948,doubravy,206,0,0,0,7
Macaca nemestrina,17.91,50.59,20.1.2016,612,vřesoviště a meze,400,0,0,0,8
Vanellus sp.,14.71,48.99,7.8.1938,770,slatiny,217,0,0,0,7
Aegypius tracheliotus,14.85,49.25,30.11.1950,670,Skalní stepi na vápensových podkladech,215,0,0,0,7
Naja haje,17.49,49.75,31.12.1982,1114,bazina,369,0,0,0,6
Neophoca cinerea,13.17,50.13,21.9.1917,1014,mocaly,207,0,0,0,4
Anas bahamensis,14.65,48.41,6.9.1985,790,bazina,369,0,0,0,3
Galago crassicaudataus,15.29,48.91,15.2.2009,1026,lidska obydli,200,0,0,0,7
Bettongia penicillata,16.51,49.83,22.2.1947,738,mocaly,207,0,0,0,8
Uraeginthus angolensis,16.31,49.17,2.2.1981,953,skály nižších a středních výšek,308,0,0,0,9
Sterna paradisaea,12.49,48.93,18.12.1943,813,skály nižších a středních výšek,308,0,0,0,0
Phascogale calura,13.85,51.11,20.2.1964,1044,skály nižších a středních výšek,308,0,0,0,9
Pseudalopex gymnocercus,14.09,48.43,15.2.1916,787,skály nižších a středních výšek,308,0,0,0,8
Ramphastos tucanus,14.23,49.45,20.2.1969,1073,louka,202,0,0,0,9
Deroptyus accipitrinus,15.01,49.73,23.11.1985,1032,lidska obydli,200,0,0,0,2
Streptopelia senegalensis,17.91,50.09,19.6.1941,1178,xerotermni tentononc,310,0,0,0,6
unavailable,18.59,49.41,25.5.2020,1064,Skalní stepi na vápensových podkladech,215,0,0,0,7
Theropithecus gelada,18.61,51.19,18.9.1917,796,louka,202,0,0,0,0
Ardea golieth,17.37,48.49,22.3.1981,800,xerotermni tentononc,310,0,0,0,1
Streptopelia senegalensis,18.75,48.79,2.12.2013,1131,lidska obydli,200,0,0,0,3
Antidorcas marsupialis,17.49,48.51,5.6.1941,862,skály nižších a středních výšek,308,0,0,0,5
Phalaropus fulicarius,16.85,50.71,6.12.1997,705,hranice lesa,402,0,0,0,1
Corvus albicollis,18.89,49.15,5.8.2002,704,skály nižších a středních výšek,308,0,0,0,6
Macaca fuscata,17.35,50.59,12.3.1966,704,les,301,0,0,0,2
Graspus graspus,17.77,49.17,4.9.1999,1003,les,301,0,0,0,3
Meleagris gallopavo,16.47,49.79,16.8.1902,802,louka,202,0,0,0,2
Lorythaixoides concolor,16.47,48.49,26.5.1952,945,louka,202,0,0,0,2
Pteronura brasiliensis,13.47,50.33,29.8.2002,607,doubravy,206,0,0,0,7
Gekko gecko,14.19,49.03,26.9.1980,902,slatiny,217,0,0,0,5
Lepus arcticus,13.21,48.87,14.5.1944,1101,Skalní stepi na vápensových podkladech,215,0,0,0,3
Prionace glauca,15.73,49.09,4.4.1922,637,bazina,369,0,0,0,9
Corvus albicollis,15.49,49.33,1.6.1921,608,lidska obydli,200,0,0,0,7
Potorous tridactylus,13.43,49.43,25.4.2010,826,skály nižších a středních výšek,308,0,0,0,5
Aonyx cinerea,18.75,48.49,21.3.2016,797,les,301,0,0,0,8
Nectarinia chalybea,18.89,50.79,29.8.1958,677,doubravy,206,0,0,0,1
Irania gutteralis,15.01,49.63,3.1.1999,1074,Skalní stepi na vápensových podkladech,215,0,0,0,10
Sagittarius serpentarius,15.41,48.41,4.8.2019,602,louka,202,0,0,0,7
Tockus erythrorhyncus,17.35,50.89,13.7.1907,1160,doubravy,206,0,0,0,9
Boa constrictor mexicana,15.83,50.29,6.11.1991,605,louka,202,0,0,0,4
Felis pardalis,17.19,49.87,24.12.2021,1095,les,301,0,0,0,3
Catharacta skua,14.93,50.17,14.3.1903,1159,lidska obydli,200,0,0,0,4
Alcelaphus buselaphus caama,15.45,50.37,6.9.1995,977,lidska obydli,200,0,0,0,4
Tockus erythrorhyncus,14.55,50.73,4.2.1903,953,louka,202,0,0,0,10
Marmota caligata,16.83,49.25,29.4.2018,802,suťové lesy,327,0,0,0,5
Parus atricapillus,12.21,48.47,17.10.1962,616,les,301,0,0,0,0
Herpestes javanicus,15.57,49.03,27.10.1994,1076,les,301,0,0,0,6
Chionis alba,12.45,50.89,3.10.1959,798,nizke křoviny,377,0,0,0,0
Vanellus armatus,14.87,48.93,17.6.1962,698,slatiny,217,0,0,0,8
Chloephaga melanoptera,16.05,48.59,2.9.1992,622,mocaly,207,0,0,0,4
Ardea golieth,14.55,48.67,26.11.1998,914,bazina,369,0,0,0,2
Buteo galapagoensis,13.31,48.53,19.4.1965,987,lidska obydli,200,0,0,0,0
Podargus strigoides,13.75,50.19,30.9.2012,1055,Skalní stepi na vápensových podkladech,215,0,0,0,9
Meleagris gallopavo,13.81,50.11,4.1.1936,1096,orobincove porosty,405,0,0,0,3
Naja haje,17.01,50.17,11.6.1910,983,suťové lesy,327,0,0,0,8
Phalacrocorax albiventer,17.01,50.29,29.6.1964,636,skály nižších a středních výšek,308,0,0,0,1
Martes americana,12.07,48.69,16.5.2002,731,xerotermni tentononc,310,0,0,0,5
Dendrocitta vagabunda,18.11,49.41,31.12.1912,1059,orobincove porosty,405,0,0,0,5
Platalea leucordia,17.37,50.45,12.12.2013,796,bazina,369,0,0,0,6
Phascolarctos cinereus,13.65,49.27,30.10.2008,770,xerotermni tentononc,310,0,0,0,10
Geococcyx californianus,17.33,49.73,8.10.1956,985,louka,202,0,0,0,10
Lamprotornis superbus,14.27,49.53,19.9.1988,1033,skály nižších a středních výšek,308,0,0,0,5
Taxidea taxus,12.69,48.83,24.1.1984,780,doubravy,206,0,0,0,0
Carduelis pinus,12.23,49.55,19.4.1988,670,Skalní stepi na vápensových podkladech,215,0,0,0,9
Redunca redunca,17.71,50.37,5.10.2016,981,les,301,0,0,0,2
Ursus americanus,16.55,50.55,15.4.1971,837,nizke křoviny,377,0,0,0,8
Panthera leo,14.77,49.01,3.9.1919,818,doubravy,206,0,0,0,4
Oreotragus oreotragus,14.07,49.15,8.2.1940,864,nizke křoviny,377,0,0,0,4
Branta canadensis,15.93,50.21,2.5.2015,685,xerotermni tentononc,310,0,0,0,7
Macropus agilis,15.91,50.63,23.1.1934,600,bazina,369,0,0,0,0
Macropus agilis,15.91,50.89,17.1.1978,1066,les,301,0,0,0,7
Cordylus giganteus,16.31,50.19,25.8.1959,877,bazina,369,0,0,0,0
Otocyon megalotis,13.85,48.75,14.7.1925,911,mocaly,207,0,0,0,8
Redunca redunca,14.03,50.27,25.4.1973,908,vřesoviště a meze,400,0,0,0,1
Sciurus niger,15.13,49.39,26.9.1963,609,doubravy,206,0,0,0,7
Phascogale calura,14.63,49.65,25.8.2015,767,nizke křoviny,377,0,0,0,8
Choloepus hoffmani,13.31,50.61,19.8.2021,618,suťové lesy,327,0,0,0,7
Macropus agilis,16.69,50.43,6.11.1953,644,slatiny,217,0,0,0,0
Ardea cinerea,13.23,50.01,15.3.1904,1122,les,301,0,0,0,5
Theropithecus gelada,14.93,50.95,11.2.1947,730,nizke křoviny,377,0,0,0,2
Mephitis mephitis,17.71,48.93,24.6.1976,851,nizke křoviny,377,0,0,0,3
Antilocapra americana,16.95,49.53,15.3.1956,966,vřesoviště a meze,400,0,0,0,9
Columba livia,16.75,50.89,6.12.1959,834,orobincove porosty,405,0,0,0,2
Eremophila alpestris,13.73,50.49,29.3.2008,762,xerotermni tentononc,310,0,0,0,5
Ephippiorhynchus mycteria,13.11,48.43,2.7.1954,910,hranice lesa,402,0,0,0,8
Funambulus pennati,18.05,49.07,20.2.1917,713,hranice lesa,402,0,0,0,9
Eumetopias jubatus,13.61,49.35,17.1.2017,750,orobincove porosty,405,0,0,0,7
Martes americana,12.97,50.39,18.8.1990,812,bazina,369,0,0,0,1
Tragelaphus angasi,15.09,49.95,12.7.1988,806,doubravy,206,0,0,0,9
Buteo jamaicensis,16.47,49.75,19.2.1924,606,Skalní stepi na vápensových podkladech,215,0,0,0,0
Drymarchon corias couperi,12.93,49.87,22.7.1944,700,suťové lesy,327,0,0,0,6
Larus fuliginosus,12.91,49.47,27.9.1919,868,les,301,0,0,0,8
Tachyglossus aculeatus,14.13,50.39,21.1.1965,647,les,301,0,0,0,7
Oreamnos americanus,17.55,49.33,3.11.2002,1122,les,301,0,0,0,4
Dasyprocta leporina,12.93,49.09,5.5.2002,1026,suťové lesy,327,0,0,0,7
Ceryle rudis,17.47,50.03,24.2.1946,1174,les,301,0,0,0,10
Microcebus murinus,17.43,49.91,8.6.1935,728,louka,202,0,0,0,8
Cervus elaphus,14.21,50.25,13.3.1997,939,nizke křoviny,377,0,0,0,9
Alectura lathami,12.05,51.11,24.7.2010,1194,slatiny,217,0,0,0,9
Naja nivea,18.49,51.15,16.9.1997,769,skály nižších a středních výšek,308,0,0,0,8
unavailable,15.13,50.45,13.10.1988,899,louka,202,0,0,0,6
